2016-08-19 00:50:14 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 install libss2:amd64 <none> 1.42.13-1ubuntu1
2016-08-19 00:50:14 status half-installed libss2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:14 status unpacked libss2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:14 status unpacked libss2:amd64 1.42.13-1ubuntu1
2016-08-19 00:50:14 install libsystemd0:amd64 <none> 229-4ubuntu4
2016-08-19 00:50:14 status half-installed libsystemd0:amd64 229-4ubuntu4
2016-08-19 00:50:14 status unpacked libsystemd0:amd64 229-4ubuntu4
2016-08-19 00:50:14 status unpacked libsystemd0:amd64 229-4ubuntu4
2016-08-19 00:50:14 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 install libudev1:amd64 <none> 229-4ubuntu4
2016-08-19 00:50:14 status half-installed libudev1:amd64 229-4ubuntu4
2016-08-19 00:50:14 status unpacked libudev1:amd64 229-4ubuntu4
2016-08-19 00:50:14 status unpacked libudev1:amd64 229-4ubuntu4
2016-08-19 00:50:14 install libustr-1.0-1:amd64 <none> 1.0.4-5
2016-08-19 00:50:14 status half-installed libustr-1.0-1:amd64 1.0.4-5
2016-08-19 00:50:14 status unpacked libustr-1.0-1:amd64 1.0.4-5
2016-08-19 00:50:14 status unpacked libustr-1.0-1:amd64 1.0.4-5
2016-08-19 00:50:14 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2016-08-19 00:50:14 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 install locales:all <none> 2.23-0ubuntu3
2016-08-19 00:50:14 status half-installed locales:all 2.23-0ubuntu3
2016-08-19 00:50:15 status unpacked locales:all 2.23-0ubuntu3
2016-08-19 00:50:15 status unpacked locales:all 2.23-0ubuntu3
2016-08-19 00:50:15 install login:amd64 <none> 1:4.2-3.1ubuntu5
2016-08-19 00:50:15 status half-installed login:amd64 1:4.2-3.1ubuntu5
2016-08-19 00:50:15 status unpacked login:amd64 1:4.2-3.1ubuntu5
2016-08-19 00:50:15 status unpacked login:amd64 1:4.2-3.1ubuntu5
2016-08-19 00:50:15 install lsb-base:all <none> 9.20160110
2016-08-19 00:50:15 status half-installed lsb-base:all 9.20160110
2016-08-19 00:50:15 status unpacked lsb-base:all 9.20160110
2016-08-19 00:50:15 status unpacked lsb-base:all 9.20160110
2016-08-19 00:50:15 install makedev:all <none> 2.3.1-93ubuntu1
